Prelacion;Consejeria / Ent. Instrumental;Centro Directivo / Unidades Administrativas;Cod. Puesto;Puesto;C.D C.E.;vigencia_inicio;vigencia_fin;relacion_inicio;relacion_fin
482;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;4.453.020;AYUDANTE TIC;16;24/03/2020;;01/01/2022;
483;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;3.220.610;AYUDANTE TIC;16;28/04/2020;;18/08/2022;
484;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;1.773.110;GESTION SERVICIOS TECNOLOGICOS;25;07/12/2021;;27/07/2022;
485;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;2.090.210;GESTION SERVICIOS TECNOLOGICOS;25;17/05/2020;;03/03/2022;
486;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;8.020.710;GESTION SERVICIOS TECNOLOGICOS;25;12/07/2021;;19/02/2022;
487;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;6.727.110;GESTION SERVICIOS TECNOLOGICOS;25;03/06/2021;;17/09/2021;
488;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;12.658.410;AYUDANTE TIC;16;16/06/2020;;28/10/2021;
489;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;4.458.520;AYUDANTE TIC;16;10/05/2021;;06/08/2022;
490;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;4.497.020;ASESOROA TOCNICA;23;18/07/2020;25/11/2021;15/06/2021;27/09/2021
491;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;14.374.710;AUXILIAR GESTION;16;07/10/2020;;25/11/2020;31/03/2021
492;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;14.577.810;AYUDANTE TIC;16;18/07/2020;;02/11/2020;15/07/2021
493;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;8.900.710;AUXILIAR TIC;14;02/05/2020;;25/11/2020;
494;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;8.900.110;AYUDANTE TIC;15;28/05/2022;;10/04/2023;
495;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;9.421.510;AYUDANTE TIC;15;21/04/2020;28/07/2022;14/10/2020;05/05/2022
496;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;4.476.320;AYUDANTE TIC;16;28/09/2020;;02/10/2020;20/04/2021
497;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;4.476.420;AYUDANTE TIC;16;05/09/2020;;12/09/2020;25/10/2021
498;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;7.830.410;AYUDANTE TIC;16;14/08/2020;;31/08/2020;19/12/2020
499;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;482.910;AYUDANTE TIC;16;18/07/2020;;25/09/2020;08/12/2020
500;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;162.110;AYUDANTE TIC;15;23/05/2021;;07/07/2021;29/11/2021
501;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;4.453.520;AYUDANTE TIC;16;18/07/2020;;09/10/2020;07/12/2020
502;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;1.478.910;ASESOROA TOCNICA;23;26/01/2020;;10/07/2022;
503;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;2.440.910;ASESOROA TOCNICA;23;05/03/2021;19/12/2023;25/10/2021;24/09/2023
504;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;9.212.910;GESTION SERVICIOS TECNOLOGICOS;25;30/05/2020;;06/10/2021;
505;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;11.488.110;GESTION SERVICIOS TECNOLOGICOS;25;31/03/2022;;15/11/2022;
506;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;180.510;AYUDANTE TIC;15;22/03/2021;;04/09/2022;
507;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;1.614.310;AYUDANTE TIC;16;17/11/2022;;28/05/2023;
508;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;30.710;AYUDANTE TIC;16;29/01/2021;;16/09/2022;
509;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;13.204.710;SUBD. SOCIEDAD DIGITAL;30;01/06/2022;;11/08/2022;
510;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;9.900.110;SUBD. PLANIF. Y ESTRATEGIA;30;17/03/2021;;19/05/2021;
511;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;9.053.110;AYUDANTE TIC;16;14/05/2022;;31/07/2022;
512;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;497.110;AYUDANTE TIC;16;07/08/2022;;29/01/2023;
513;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;14.449.510;AYUDANTE TIC;16;20/06/2022;;04/02/2023;
514;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;4.466.120;ESPECIALISTA DIGITAL;20;01/10/2022;;01/01/2023;
515;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;4.447.020;ESPECIALISTA DIGITAL;20;10/11/2020;;18/12/2021;07/02/2024
516;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;4.482.520;ESPECIALISTA DIGITAL;20;23/05/2021;;01/10/2021;
517;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;14.444.110;ESPECIALISTA DIGITAL;22;23/02/2021;;17/08/2021;
518;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;6.614.910;ESPECIALISTA DIGITAL;20;25/04/2022;;18/10/2022;
519;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;14.358.510;ESPECIALISTA DIGITAL;22;26/08/2020;;16/05/2021;
520;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;4.481.320;ESPECIALISTA DIGITAL;20;17/07/2020;;27/08/2020;
521;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;14.358.710;ESPECIALISTA DIGITAL;22;09/10/2022;;07/04/2023;
522;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;4.457.620;ESPECIALISTA DIGITAL;20;27/11/2022;;09/07/2023;
523;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;4.471.320;ESPECIALISTA DIGITAL;20;17/06/2022;;05/06/2023;
524;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;12.697.110;AUXILIAR ADMINISTRATIVO;14;24/09/2022;;09/11/2022;
525;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;66.210;GESTION SERVICIOS TECNOLOGICOS;25;03/01/2022;;15/07/2022;
526;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;11.731.810;GESTION SERVICIOS TECNOLOGICOS;25;08/02/2020;;01/05/2022;
527;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;10.954.010;AYUDANTE TIC;15;14/06/2020;;06/11/2020;
528;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;9.422.010;AYUDANTE TIC;15;21/06/2020;;31/03/2021;
529;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;4.451.620;GESTION SERVICIOS TECNOLOGICOS;25;17/04/2020;;13/09/2021;
530;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;4.451.520;GESTION SERVICIOS TECNOLOGICOS;25;23/05/2021;;25/03/2022;
531;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;6.629.310;DP. TECNICO;26;13/12/2022;;24/08/2023;
532;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;4.451.420;GESTION SERVICIOS TECNOLOGICOS;25;15/09/2022;;26/12/2022;
533;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;511.410;ASESOROA TOCNICA;23;09/03/2020;13/06/2023;30/09/2022;28/11/2022
534;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;2.300.910;GESTION SERVICIOS TECNOLOGICOS;25;06/03/2020;;21/02/2023;
535;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;14.358.610;ESPECIALISTA DIGITAL;22;27/06/2022;;24/05/2023;
536;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;4.462.520;ESPECIALISTA DIGITAL;20;27/08/2022;;19/04/2023;
537;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;11.735.610;ESPECIALISTA DIGITAL;22;21/12/2020;;18/06/2021;
538;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;3.330.010;ESPECIALISTA DIGITAL;20;26/06/2022;;21/11/2022;
539;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;8.251.510;ESPECIALISTA DIGITAL;20;24/12/2020;;17/03/2022;
540;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;2.109.310;ESPECIALISTA DIGITAL;20;02/06/2020;;24/05/2021;
541;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;4.471.220;ESPECIALISTA DIGITAL;20;29/10/2021;;06/03/2022;
542;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;4.466.020;ESPECIALISTA DIGITAL;20;30/05/2021;;08/12/2021;
543;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;4.481.120;ESPECIALISTA DIGITAL;20;28/08/2022;;26/04/2023;
544;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;14.445.210;AUXILIAR GESTION;16;21/12/2020;;18/06/2023;
545;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;14.358.810;ESPECIALISTA DIGITAL;22;06/08/2020;;17/05/2021;
546;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;14.582.710;AYUDANTE TIC;16;04/03/2020;;14/11/2021;
547;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;14.365.310;AYUDANTE TIC;18;19/03/2021;;04/04/2021;
548;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;4.447.120;ESPECIALISTA DIGITAL;20;21/06/2021;;30/07/2022;
549;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;4.481.220;ESPECIALISTA DIGITAL;20;20/09/2020;;17/11/2020;
550;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;4.454.120;ESPECIALISTA DIGITAL;20;03/08/2020;;29/12/2020;
551;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;4.457.720;ESPECIALISTA DIGITAL;20;30/07/2021;;18/01/2022;
552;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;4.454.520;ESPECIALISTA DIGITAL;20;22/05/2020;29/09/2022;29/10/2020;13/05/2021
553;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;4.462.620;ESPECIALISTA DIGITAL;20;20/02/2022;;08/10/2022;
554;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;4.454.020;ESPECIALISTA DIGITAL;20;14/03/2020;;30/01/2021;
555;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;4.482.620;ESPECIALISTA DIGITAL;20;20/05/2022;;03/07/2022;
556;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;2.033.610;ESPECIALISTA DIGITAL;20;24/09/2021;;18/03/2022;
557;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;4.454.420;ESPECIALISTA DIGITAL;20;03/10/2022;;20/10/2022;19/02/2024
558;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;2.206.210;GESTION SERVICIOS TECNOLOGICOS;25;08/12/2022;;23/02/2023;
559;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;482.810;ASESOROA TOCNICA;23;13/04/2021;;28/07/2023;
560;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;9.289.210;GESTION SERVICIOS TECNOLOGICOS;25;25/04/2022;;16/01/2023;
561;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;6.948.210;DP. TECNICO;26;08/01/2021;;26/10/2021;
562;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;6.629.010;DP. TECNICO;26;28/05/2021;;02/03/2022;
563;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;2.212.110;GESTION SERVICIOS TECNOLOGICOS;25;04/04/2022;;02/11/2022;
564;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;4.496.920;ASESOROA TOCNICA;23;21/07/2022;04/12/2022;07/08/2022;12/09/2022
565;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;78.810;DP. TECNICO;26;25/05/2021;;09/04/2022;
566;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;2.118.910;GESTION SERVICIOS TECNOLOGICOS;25;11/09/2022;;23/02/2023;07/09/2025
567;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;14.373.810;SC. GESTION ADMINISTRATIVA;22;24/06/2020;;18/11/2022;
568;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;14.374.210;SC. GESTION ADMINISTRATIVA;22;05/12/2022;;24/02/2023;
569;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;14.373.910;SC. GESTION ADMINISTRATIVA;22;26/05/2020;;11/04/2023;
570;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;14.353.910;SC. GESTION ADMINISTRATIVA;22;17/01/2020;;04/02/2023;
571;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;14.374.110;SC. GESTION ADMINISTRATIVA;22;10/06/2020;;20/02/2023;
572;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;9.900.310;SC. GESTION ADMINISTRATIVA;22;08/06/2022;;27/02/2023;
573;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;14.374.010;SC. GESTION ADMINISTRATIVA;22;25/04/2021;;20/03/2023;25/04/2025
574;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;14.577.710;AYUDANTE TIC;16;07/06/2022;;20/09/2022;
575;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;14.445.310;AUXILIAR GESTION;16;07/08/2022;;18/10/2022;
576;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;14.577.610;AYUDANTE TIC;16;13/04/2022;;27/02/2023;
577;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;14.365.110;AYUDANTE TIC;18;22/04/2021;;05/06/2022;
578;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;12.340.510;AYUDANTE TIC;16;11/02/2021;;16/12/2021;
579;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;25.810;AYUDANTE TIC;16;30/03/2022;;26/10/2022;
580;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;4.494.820;AYUDANTE TIC;16;20/07/2020;;02/02/2022;
581;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;9.387.010;AYUDANTE TIC;18;31/03/2021;;09/02/2022;
582;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;14.577.510;AYUDANTE TIC;16;22/05/2022;;23/02/2023;
583;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;14.392.810;AYUDANTE TIC;18;06/06/2021;;16/01/2022;
584;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;6.981.110;AYUDANTE TIC;16;19/07/2022;;22/02/2023;
585;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;2.090.310;ASESOROA TOCNICA;23;07/05/2022;;23/03/2023;
586;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;17.143.810;ASESOROA TOCNICA;23;30/09/2022;;02/01/2023;
587;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;1.600.610;GESTION SERVICIOS TECNOLOGICOS;25;29/10/2022;;13/02/2023;
588;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;3.219.710;ASESOROA TOCNICA;23;29/09/2022;;09/05/2023;
589;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;11.361.010;AYUDANTE TIC;15;12/08/2022;;19/07/2023;
590;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;812.610;GESTION SERVICIOS TECNOLOGICOS;25;27/07/2022;;23/09/2022;
591;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;9.420.910;GESTION SERVICIOS TECNOLOGICOS;25;21/01/2021;;03/06/2022;
592;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;327.910;ASESOROA TOCNICA;23;08/07/2022;;21/08/2022;
593;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;2.387.210;GESTION SERVICIOS TECNOLOGICOS;25;07/08/2021;;03/04/2022;
594;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;9.836.810;GESTION SERVICIOS TECNOLOGICOS;25;06/12/2021;;15/03/2022;
595;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;1.138.310;GESTION SERVICIOS TECNOLOGICOS;25;19/10/2021;;22/10/2022;
596;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;7.831.510;GESTION SERVICIOS TECNOLOGICOS;25;27/02/2020;;12/06/2021;
597;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;821.310;GESTION SERVICIOS TECNOLOGICOS;25;26/01/2020;;10/06/2022;
598;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;2.439.010;GESTION SERVICIOS TECNOLOGICOS;25;31/03/2021;29/09/2023;28/09/2021;22/11/2022
599;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;7.804.510;GESTION SERVICIOS TECNOLOGICOS;25;27/12/2021;;11/01/2022;
600;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;14.371.410;GESTION SERVICIOS TECNOLOGICOS;25;11/07/2021;;17/06/2022;
601;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;6.698.010;GESTION SERVICIOS TECNOLOGICOS;25;05/05/2020;;23/01/2022;
602;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;7.831.610;GESTION SERVICIOS TECNOLOGICOS;25;27/04/2020;;20/07/2022;
603;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;9.421.010;GESTION SERVICIOS TECNOLOGICOS;25;14/09/2021;;17/07/2022;
604;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;4.478.320;ASESOROA TOCNICA;24;12/05/2020;;20/10/2021;
605;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;4.478.420;ASESOROA TOCNICA;24;15/12/2020;;28/10/2021;
606;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;2.119.010;ASESOROA TOCNICA;23;11/10/2022;;26/01/2023;
607;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;14.445.910;ASESOROA TOCNICA;25;18/06/2021;;18/06/2022;
608;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;14.373.310;ASESOROA TOCNICA;25;22/09/2021;;13/03/2022;
609;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;3.171.010;OPERADOR/A DE ORDENADOR;0;18/05/2021;;20/04/2022;
610;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;4.463.720;ASESOROA TOCNICA;23;21/11/2022;;31/01/2023;
611;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;4.463.820;ASESOROA TOCNICA;23;02/12/2022;;23/06/2023;
612;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;2.298.210;GESTION SERVICIOS TECNOLOGICOS;25;06/12/2021;;22/12/2021;
613;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;7.795.010;GESTION SERVICIOS TECNOLOGICOS;25;30/03/2022;;11/12/2022;
614;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;7.831.210;GESTION SERVICIOS TECNOLOGICOS;25;11/08/2021;;22/02/2022;
615;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;16.708.510;GESTION SERVICIOS TECNOLOGICOS;25;20/12/2021;;04/11/2022;
616;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;1.777.310;GESTION SERVICIOS TECNOLOGICOS;25;25/07/2022;;11/06/2023;
617;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;1.154.410;GESTION SERVICIOS TECNOLOGICOS;25;15/05/2020;;11/09/2021;
618;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;9.969.410;TITULADO/A SUPERIOR;22;03/10/2020;;31/12/2021;
619;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;4.452.420;ASESOROA TOCNICA;24;10/06/2021;;09/11/2021;27/10/2022
620;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;9.173.410;GESTION SERVICIOS TECNOLOGICOS;25;03/12/2020;;11/03/2022;
621;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;14.576.610;GESTION SERVICIOS TECNOLOGICOS;25;06/06/2021;;17/06/2021;
622;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;9.381.610;GESTION SERVICIOS TECNOLOGICOS;25;13/05/2022;;17/01/2023;
623;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;14.579.510;AYUDANTE TIC;15;19/09/2021;;28/03/2023;
624;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;9.860.310;GESTION SERVICIOS TECNOLOGICOS;25;08/02/2022;;25/08/2022;
625;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;10.953.510;AYUDANTE TIC;15;18/07/2021;;14/02/2022;
626;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;2.090.110;GESTION SERVICIOS TECNOLOGICOS;25;12/05/2020;;05/11/2021;
627;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;2.123.510;GESTION SERVICIOS TECNOLOGICOS;25;24/03/2021;;08/07/2022;
