Prelacion;Consejeria / Ent. Instrumental;Centro Directivo / Unidades Administrativas;Cod. Puesto;Puesto;C.D C.E.;vigencia_inicio;vigencia_fin;relacion_inicio;relacion_fin
536;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;4.462.520;ESPECIALISTA DIGITAL;20;15/05/2022;22/05/2024;21/07/2024;
537;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;11.735.610;ESPECIALISTA DIGITAL;22;21/07/2020;03/11/2020;10/12/2025;
538;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;3.330.010;ESPECIALISTA DIGITAL;20;09/03/2021;;02/01/2026;
539;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;8.251.510;ESPECIALISTA DIGITAL;20;22/08/2022;20/11/2022;16/07/2025;
540;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;2.109.310;ESPECIALISTA DIGITAL;20;29/01/2021;27/09/2025;19/03/2020;03/03/2024
541;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;4.471.220;ESPECIALISTA DIGITAL;20;26/04/2023;;17/02/2020;
542;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;4.466.020;ESPECIALISTA DIGITAL;20;29/08/2022;;20/12/2025;
543;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;4.481.120;ESPECIALISTA DIGITAL;20;30/07/2021;;10/08/2023;
544;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;14.445.210;AUXILIAR GESTION;16;09/05/2020;;06/11/2022;
545;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;14.358.810;ESPECIALISTA DIGITAL;22;07/11/2022;;06/04/2021;
546;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;14.582.710;AYUDANTE TIC;16;22/08/2023;;17/10/2021;
547;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;14.365.310;AYUDANTE TIC;18;21/08/2024;18/11/2025;26/01/2025;
548;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;4.447.120;ESPECIALISTA DIGITAL;20;26/03/2020;;04/08/2024;
549;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;4.481.220;ESPECIALISTA DIGITAL;20;02/04/2024;;03/10/2022;07/01/2025
550;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;4.454.120;ESPECIALISTA DIGITAL;20;20/12/2022;;26/12/2023;
551;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;4.457.720;ESPECIALISTA DIGITAL;20;13/03/2021;05/04/2022;05/04/2025;03/11/2025
552;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;4.454.520;ESPECIALISTA DIGITAL;20;15/03/2020;;03/05/2024;
553;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;4.462.620;ESPECIALISTA DIGITAL;20;01/03/2024;;09/02/2023;
554;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;4.454.020;ESPECIALISTA DIGITAL;20;04/10/2023;;31/12/2025;
555;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;4.482.620;ESPECIALISTA DIGITAL;20;13/04/2023;;22/07/2024;19/06/2025
556;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;2.033.610;ESPECIALISTA DIGITAL;20;06/12/2023;02/01/2024;31/12/2025;14/02/2026
557;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;4.454.420;ESPECIALISTA DIGITAL;20;25/07/2025;;11/12/2021;
558;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;2.206.210;GESTION SERVICIOS TECNOLOGICOS;25;09/04/2020;;12/02/2020;
559;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;482.810;ASESOROA TOCNICA;23;25/11/2022;26/03/2025;16/04/2022;18/08/2024
560;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;9.289.210;GESTION SERVICIOS TECNOLOGICOS;25;19/04/2020;;02/05/2023;
561;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;6.948.210;DP. TECNICO;26;21/06/2021;01/01/2025;08/01/2025;
562;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;6.629.010;DP. TECNICO;26;26/10/2022;02/09/2024;06/03/2025;
563;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;2.212.110;GESTION SERVICIOS TECNOLOGICOS;25;22/04/2020;12/07/2023;10/05/2020;
564;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;4.496.920;ASESOROA TOCNICA;23;07/05/2020;;19/07/2024;08/12/2025
565;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;78.810;DP. TECNICO;26;25/11/2024;;02/03/2024;08/02/2025
566;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;2.118.910;GESTION SERVICIOS TECNOLOGICOS;25;21/02/2022;03/11/2024;11/12/2025;
567;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;14.373.810;SC. GESTION ADMINISTRATIVA;22;29/04/2025;;29/04/2025;
568;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;14.374.210;SC. GESTION ADMINISTRATIVA;22;14/03/2021;28/09/2024;11/10/2024;
569;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;14.373.910;SC. GESTION ADMINISTRATIVA;22;27/11/2021;;17/02/2021;29/08/2024
570;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;14.353.910;SC. GESTION ADMINISTRATIVA;22;24/08/2023;;24/11/2025;
571;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;14.374.110;SC. GESTION ADMINISTRATIVA;22;06/12/2023;;07/04/2021;
572;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;9.900.310;SC. GESTION ADMINISTRATIVA;22;03/01/2026;04/01/2026;04/02/2023;
573;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;14.374.010;SC. GESTION ADMINISTRATIVA;22;02/03/2024;;14/11/2025;
574;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;14.577.710;AYUDANTE TIC;16;18/10/2024;;28/06/2023;
575;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;14.445.310;AUXILIAR GESTION;16;30/08/2021;30/04/2023;05/05/2020;
576;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;14.577.610;AYUDANTE TIC;16;01/01/2024;;03/12/2020;
577;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;14.365.110;AYUDANTE TIC;18;07/05/2023;01/11/2025;18/01/2021;
578;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;12.340.510;AYUDANTE TIC;16;10/06/2022;03/06/2025;01/07/2022;24/03/2024
579;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;25.810;AYUDANTE TIC;16;02/05/2025;04/10/2025;31/07/2024;20/06/2025
580;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;4.494.820;AYUDANTE TIC;16;06/08/2024;;25/11/2020;
581;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;9.387.010;AYUDANTE TIC;18;24/03/2024;08/01/2025;24/07/2022;
582;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;14.577.510;AYUDANTE TIC;16;17/07/2021;12/11/2021;23/01/2021;
583;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;14.392.810;AYUDANTE TIC;18;09/09/2025;15/02/2026;07/03/2021;20/01/2023
584;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;6.981.110;AYUDANTE TIC;16;02/08/2025;18/12/2025;15/10/2023;
585;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;2.090.310;ASESOROA TOCNICA;23;15/10/2022;;07/10/2021;
586;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;17.143.810;ASESOROA TOCNICA;23;09/07/2024;28/12/2024;22/10/2025;28/12/2025
587;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;1.600.610;GESTION SERVICIOS TECNOLOGICOS;25;29/09/2023;;24/12/2021;
588;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;3.219.710;ASESOROA TOCNICA;23;22/11/2021;;19/03/2020;
589;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;11.361.010;AYUDANTE TIC;15;05/07/2024;16/12/2024;14/06/2021;
590;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;812.610;GESTION SERVICIOS TECNOLOGICOS;25;06/10/2023;14/06/2025;10/06/2020;
591;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;9.420.910;GESTION SERVICIOS TECNOLOGICOS;25;04/11/2020;;19/09/2023;
592;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;327.910;ASESOROA TOCNICA;23;11/02/2024;;10/04/2024;
593;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;2.387.210;GESTION SERVICIOS TECNOLOGICOS;25;15/01/2021;02/08/2023;10/03/2020;
594;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;9.836.810;GESTION SERVICIOS TECNOLOGICOS;25;23/03/2022;;11/01/2022;
595;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;1.138.310;GESTION SERVICIOS TECNOLOGICOS;25;21/12/2022;21/10/2024;17/01/2026;19/01/2026
596;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;7.831.510;GESTION SERVICIOS TECNOLOGICOS;25;07/08/2020;;23/12/2023;
597;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;821.310;GESTION SERVICIOS TECNOLOGICOS;25;28/04/2021;16/05/2022;15/03/2024;10/10/2025
598;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;2.439.010;GESTION SERVICIOS TECNOLOGICOS;25;10/10/2022;;26/10/2022;
599;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;7.804.510;GESTION SERVICIOS TECNOLOGICOS;25;03/06/2020;;06/01/2021;
600;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;14.371.410;GESTION SERVICIOS TECNOLOGICOS;25;19/10/2021;;14/08/2022;
601;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;6.698.010;GESTION SERVICIOS TECNOLOGICOS;25;06/09/2021;03/07/2022;28/01/2023;28/10/2025
602;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;7.831.610;GESTION SERVICIOS TECNOLOGICOS;25;14/05/2022;;17/07/2023;
603;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;9.421.010;GESTION SERVICIOS TECNOLOGICOS;25;29/08/2020;;07/11/2020;
604;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;4.478.320;ASESOROA TOCNICA;24;29/01/2026;;19/05/2025;
605;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;4.478.420;ASESOROA TOCNICA;24;16/10/2025;;13/05/2021;
606;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;2.119.010;ASESOROA TOCNICA;23;13/02/2026;;26/09/2020;20/03/2024
607;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;14.445.910;ASESOROA TOCNICA;25;27/11/2023;;30/07/2024;
608;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;14.373.310;ASESOROA TOCNICA;25;15/11/2020;;30/10/2021;
609;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;3.171.010;OPERADOR/A DE ORDENADOR;0;03/06/2022;23/10/2022;20/07/2021;
610;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;4.463.720;ASESOROA TOCNICA;23;22/06/2025;25/06/2025;25/09/2024;22/01/2026
611;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;4.463.820;ASESOROA TOCNICA;23;13/08/2025;;06/03/2022;
612;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;2.298.210;GESTION SERVICIOS TECNOLOGICOS;25;22/02/2020;13/07/2021;31/01/2023;
613;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;7.795.010;GESTION SERVICIOS TECNOLOGICOS;25;06/10/2022;18/07/2023;09/01/2023;
614;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;7.831.210;GESTION SERVICIOS TECNOLOGICOS;25;17/02/2023;;13/11/2024;
615;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;16.708.510;GESTION SERVICIOS TECNOLOGICOS;25;25/05/2024;14/08/2025;25/04/2024;
616;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;1.777.310;GESTION SERVICIOS TECNOLOGICOS;25;07/11/2024;;18/09/2024;
617;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;1.154.410;GESTION SERVICIOS TECNOLOGICOS;25;30/08/2024;;04/11/2021;22/09/2024
618;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;9.969.410;TITULADO/A SUPERIOR;22;23/11/2024;;16/12/2020;
619;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;4.452.420;ASESOROA TOCNICA;24;02/10/2024;;03/03/2020;
620;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;9.173.410;GESTION SERVICIOS TECNOLOGICOS;25;25/05/2020;;29/04/2023;
621;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;14.576.610;GESTION SERVICIOS TECNOLOGICOS;25;24/06/2023;;10/10/2025;
622;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;9.381.610;GESTION SERVICIOS TECNOLOGICOS;25;18/05/2023;16/02/2024;19/06/2021;
623;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;14.579.510;AYUDANTE TIC;15;14/09/2020;;26/06/2022;
624;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;9.860.310;GESTION SERVICIOS TECNOLOGICOS;25;05/09/2024;;25/05/2025;
625;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;10.953.510;AYUDANTE TIC;15;05/07/2023;;14/06/2024;
626;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;2.090.110;GESTION SERVICIOS TECNOLOGICOS;25;18/01/2021;;29/06/2021;26/01/2022
627;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;2.123.510;GESTION SERVICIOS TECNOLOGICOS;25;10/04/2022;12/02/2025;16/02/2023;
628;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;9.193.810;ESPECIALISTA DIGITAL;20;28/09/2024;05/01/2025;01/05/2022;
629;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;4.467.720;AYUDANTE TIC;16;12/05/2021;;26/09/2021;
630;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;812.710;AYUDANTE TIC;16;11/07/2025;02/01/2026;22/08/2025;
631;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;14.577.010;AYUDANTE TIC;16;10/03/2020;08/03/2023;21/12/2022;
632;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;14.451.910;TITULADO/A SUPERIOR;22;04/02/2021;25/03/2021;18/06/2024;
633;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;14.579.310;AYUDANTE TIC;15;16/09/2023;;29/09/2020;
634;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;14.577.210;AYUDANTE TIC;15;06/08/2022;08/04/2023;29/03/2024;
635;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;2.090.610;AYUDANTE TIC;15;25/10/2023;30/01/2026;01/09/2020;22/03/2022
636;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;14.582.310;AYUDANTE TIC;16;25/04/2020;28/09/2023;19/07/2023;
637;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;14.582.210;AYUDANTE TIC;16;28/11/2020;;17/08/2023;
638;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;14.582.910;AYUDANTE TIC;16;18/05/2020;;17/03/2024;
639;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;11.359.010;AYUDANTE TIC;16;04/09/2025;07/11/2025;05/10/2024;
640;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;14.583.110;AYUDANTE TIC;16;26/12/2021;03/02/2026;03/11/2024;
641;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;14.584.710;AYUDANTE TIC;15;28/08/2024;29/09/2024;04/06/2022;
642;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;2.119.310;AYUDANTE TIC;15;05/06/2021;;28/04/2020;
643;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;1.152.810;AYUDANTE TIC;15;12/02/2022;08/07/2024;30/09/2025;03/10/2025
644;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;4.471.920;AUXILIAR OPERADOR/A INFORMOTICA;0;06/05/2020;29/08/2020;26/03/2020;
645;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;6.942.810;AUXILIAR OPERADOR/A INFORMOTICA;0;26/09/2020;24/07/2023;24/02/2021;
646;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;4.471.820;AUXILIAR OPERADOR/A INFORMOTICA;0;06/10/2021;15/11/2023;07/03/2024;
647;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;5.207.020;AUXILIAR OPERADOR/A DE INFORMATICA;0;13/01/2026;05/02/2026;29/06/2021;
648;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;5.207.120;AUXILIAR OPERADOR/A DE INFORMATICA;0;30/07/2024;21/11/2024;10/04/2021;
649;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;14.376.010;AUXILIAR GESTION;16;15/06/2021;05/06/2025;26/09/2024;11/04/2025
650;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;14.576.710;AYUDANTE TIC;16;24/06/2025;;15/12/2024;
651;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;14.375.710;AUXILIAR GESTION;16;02/11/2020;02/02/2022;28/03/2025;
652;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;335.910;AYUDANTE TIC;16;07/12/2020;;23/05/2021;28/02/2025
653;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;14.451.710;TITULADO/A SUPERIOR;22;19/04/2021;09/03/2025;24/08/2025;16/02/2026
654;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;14.375.010;AUXILIAR GESTION;16;05/05/2024;;06/06/2023;12/07/2025
655;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;14.445.410;AUXILIAR GESTION;16;02/09/2022;;26/03/2024;
656;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;8.092.610;GBTE. ESTRATOGICO;26;03/03/2021;21/01/2023;06/02/2023;09/08/2023
657;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;1.046.110;SV. SISTEMAS DIGITALES EDUCACION;28;18/06/2024;;24/08/2023;
658;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;8.157.310;GBTE. ESTRATOGICO;27;17/08/2025;;05/04/2025;23/12/2025
659;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;4.478.820;UN. INFORMACION;22;19/11/2023;;14/12/2023;02/02/2026
660;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;9.053.410;AYUDANTE TIC;16;25/11/2020;27/09/2021;27/04/2023;
661;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;9.381.910;AYUDANTE TIC;18;21/05/2022;;16/05/2025;
662;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;14.388.310;ASESOROA TOCNICA;25;13/04/2020;22/09/2020;03/08/2024;
663;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;14.446.110;ASESOROA TOCNICA;25;03/08/2023;;28/06/2020;
664;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;14.446.010;ASESOROA TOCNICA;25;31/10/2023;19/12/2023;21/08/2021;
665;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;1.589.320;OPERADOR/A DE ORDENADOR;0;26/05/2023;17/03/2025;02/12/2020;
666;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;4.455.820;ESPECIALISTA DIGITAL;20;16/12/2024;;13/08/2020;
667;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;8.251.310;ESPECIALISTA DIGITAL;20;16/09/2024;;20/09/2025;21/11/2025
668;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;4.487.820;ESPECIALISTA DIGITAL;20;22/01/2024;11/12/2024;11/07/2025;
669;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;14.443.610;ESPECIALISTA DIGITAL;22;19/07/2021;;27/11/2020;
670;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;4.465.220;ESPECIALISTA DIGITAL;20;21/04/2021;27/10/2024;05/06/2021;
671;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;4.447.320;ESPECIALISTA DIGITAL;20;24/04/2020;;19/11/2025;12/02/2026
672;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;3.329.110;ESPECIALISTA DIGITAL;20;29/07/2025;18/09/2025;27/01/2020;
673;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;11.731.910;ESPECIALISTA DIGITAL;22;06/05/2021;;14/08/2021;
674;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;14.357.810;ESPECIALISTA DIGITAL;22;28/03/2021;;03/06/2024;
675;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;14.578.010;AYUDANTE TIC;16;06/01/2021;23/02/2021;19/04/2024;
676;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;14.578.110;AYUDANTE TIC;16;27/12/2025;05/02/2026;09/06/2023;28/11/2025
677;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;14.445.510;AUXILIAR GESTION;16;03/12/2025;08/12/2025;22/03/2021;
